cycle, time, v0, a0, req_acc, coeff[3], coeff[4], coeff[5];
1, 0, -8.83774e-08, -1.76755e-06, 0.039188, 0.787935, -0.165881, 0.0116408;
2, 0.074, 0.000299015, 0.00598206, 0.0783153, 0.786683, -0.165796, 0.0116412;
3, 0.141, 0.0016131, 0.0262818, 0.11723, 0.782423, -0.165507, 0.0116425;
4, 0.179, 0.00522705, 0.0722789, 0.155658, 0.772671, -0.164827, 0.0116435;
5, 0.24, 0.0155957, 0.207373, 0.19261, 0.743092, -0.162564, 0.0116226;
6, 0.284, 0.0392729, 0.473543, 0.226463, 0.68098, -0.157012, 0.0114833;
7, 0.34, -0.0376379, -1.53822, 0.276236, 0.999444, -0.159696, 0.00934779;
8, 0.394, -0.0805588, -0.858418, 0.322723, 0.933968, -0.1689, 0.0108183;
9, 0.459, -0.039178, 0.827617, 0.352015, 0.589498, -0.146398, 0.0109658;
10, 0.498, 0.0108075, 0.99971, 0.379013, 0.543476, -0.141204, 0.0107293;
11, 0.662, 0.0489482, 0.762813, 0.40922, 0.607872, -0.149226, 0.0111632;
12, 0.701, 0.0775924, 0.572885, 0.441891, 0.657287, -0.154952, 0.0114402;
13, 0.761, 0.102235, 0.492844, 0.475585, 0.677793, -0.15733, 0.011556;
14, 0.803, 0.126069, 0.476681, 0.509505, 0.682344, -0.158033, 0.011605;
15, 0.867, 0.150431, 0.487241, 0.543323, 0.680316, -0.15807, 0.0116296;
16, 0.909, 0.175815, 0.507676, 0.576918, 0.675836, -0.15786, 0.0116455;
17, 0.972, 0.202482, 0.533346, 0.610223, 0.670023, -0.157515, 0.0116566;
18, 1.017, 0.230591, 0.562184, 0.643195, 0.663368, -0.157081, 0.0116644;
19, 1.094, 0.260214, 0.592456, 0.675815, 0.656293, -0.1566, 0.0116705;
20, 1.137, 0.291388, 0.623477, 0.708068, 0.648963, -0.15609, 0.0116754;
21, 1.196, 0.324124, 0.654716, 0.739949, 0.64151, -0.155564, 0.0116796;
22, 1.24, 0.358392, 0.685374, 0.771463, 0.634139, -0.155044, 0.0116842;
23, 1.299, 0.394192, 0.716004, 0.802605, 0.626707, -0.154515, 0.0116884;
24, 1.339, 0.431536, 0.74688, 0.83337, 0.619136, -0.153966, 0.0116916;
25, 1.405, 0.470431, 0.777885, 0.863751, 0.611454, -0.1534, 0.0116941;
26, 1.445, 0.510866, 0.808713, 0.893748, 0.603742, -0.152827, 0.0116961;
27, 1.5, 0.552806, 0.838789, 0.923366, 0.596159, -0.152266, 0.0116988;
28, 1.542, 0.596252, 0.86893, 0.952601, 0.588478, -0.151688, 0.0117006;
29, 1.6, 0.641221, 0.899381, 0.981443, 0.580628, -0.151085, 0.011701;
30, 1.641, 0.687735, 0.930273, 1.00988, 0.572566, -0.15045, 0.0116995;
31, 1.7, 0.735759, 0.960483, 1.03793, 0.564609, -0.149824, 0.0116985;
32, 1.746, 0.7853, 0.990817, 1.06557, 0.556526, -0.149175, 0.0116961;
33, 1.802, 0.836311, 1.02023, 1.09281, 0.54862, -0.148545, 0.0116946;
34, 1.845, 0.888598, 1.04573, 1.11972, 0.541782, -0.148055, 0.0117014;
35, 1.907, 0.942103, 1.07009, 1.14629, 0.535214, -0.147598, 0.0117104;
36, 1.947, 0.996838, 1.09471, 1.17254, 0.528495, -0.147119, 0.011718;
37, 2.003, 1.05282, 1.11964, 1.19843, 0.521608, -0.146612, 0.011724;
38, 2.045, 1.11006, 1.14474, 1.22398, 0.514592, -0.146084, 0.0117287;
39, 2.104, 1.16855, 1.16992, 1.24917, 0.507468, -0.145536, 0.0117323;
40, 2.146, 1.22831, 1.19519, 1.274, 0.500236, -0.144969, 0.0117346;
41, 2.207, 1.28934, 1.22056, 1.29847, 0.492883, -0.144379, 0.0117354;
42, 2.247, 1.35165, 1.24609, 1.32256, 0.485394, -0.143765, 0.0117346;
43, 2.307, 1.41524, 1.2718, 1.34627, 0.477751, -0.143122, 0.0117318;
44, 2.35, 1.48012, 1.29773, 1.36959, 0.469941, -0.142448, 0.0117269;
45, 2.41, 1.54632, 1.32391, 1.39251, 0.461952, -0.141741, 0.0117196;
46, 2.451, 1.61383, 1.35033, 1.41502, 0.453777, -0.140998, 0.0117097;
47, 2.511, 1.68268, 1.37686, 1.43712, 0.44546, -0.140225, 0.0116976;
48, 2.551, 1.75284, 1.40317, 1.4588, 0.437102, -0.139438, 0.0116842;
49, 2.611, 1.82433, 1.42984, 1.48005, 0.428507, -0.138605, 0.0116673;
50, 2.654, 1.89715, 1.45653, 1.5, 0.419787, -0.137743, 0.0116481;
51, 2.714, 1.97128, 1.48247, 1.5, 0.411199, -0.136894, 0.0116295;
52, 2.755, 2.04642, 1.50282, 1.5, 0.404421, -0.136333, 0.0116318;
53, 2.822, 2.12227, 1.51713, 1.5, 0.399662, -0.136102, 0.0116585;
54, 2.857, 2.19864, 1.52726, 1.5, 0.396304, -0.136105, 0.011703;
55, 2.915, 2.27537, 1.53463, 1.5, 0.39388, -0.136266, 0.0117598;
56, 2.958, 2.35236, 1.5399, 1.5, 0.392176, -0.136551, 0.0118266;
57, 3.015, 2.42949, 1.54258, 1.5, 0.391372, -0.136994, 0.0119059;
58, 3.06, 2.50665, 1.54321, 1.5, 0.391296, -0.137566, 0.0119958;
