a, v, X_tf, cycle, time, v0, req_acc, c3, c4, c5;
-1.76755e-06, -8.83774e-08, 162, 1, 0, -8.83774e-08, 0.039188, 0.787935, -0.165881, 0.0116408;
0.00598206, 0.000299015, 162, 2, 0.038, 0.000299015, 0.0783153, 0.786683, -0.165796, 0.0116412;
0.0262818, 0.0016131, 162, 3, 0.103, 0.0016131, 0.11723, 0.782423, -0.165507, 0.0116425;
0.0722789, 0.00522705, 162, 4, 0.144, 0.00522705, 0.155658, 0.772671, -0.164827, 0.0116435;
0.207373, 0.0155957, 162, 5, 0.204, 0.0155957, 0.19261, 0.743092, -0.162564, 0.0116226;
0.473543, 0.0392729, 161.999, 6, 0.243, 0.0392729, 0.226463, 0.68098, -0.157012, 0.0114833;
-1.53822, -0.0376379, 161.998, 7, 0.305, -0.0376379, 0.276236, 0.999444, -0.159696, 0.00934779;
-0.858418, -0.0805588, 161.997, 8, 0.345, -0.0805588, 0.322723, 0.933968, -0.1689, 0.0108183;
0.827617, -0.039178, 161.994, 9, 0.404, -0.039178, 0.352015, 0.589498, -0.146398, 0.0109658;
0.99971, 0.0108075, 161.989, 10, 0.445, 0.0108075, 0.379013, 0.543476, -0.141204, 0.0107293;
0.762813, 0.0489482, 161.981, 11, 0.506, 0.0489482, 0.40922, 0.607872, -0.149226, 0.0111632;
0.572885, 0.0775924, 161.972, 12, 0.547, 0.0775924, 0.441891, 0.657287, -0.154952, 0.0114402;
0.492844, 0.102235, 161.961, 13, 0.606, 0.102235, 0.475585, 0.677793, -0.15733, 0.011556;
0.476681, 0.126069, 161.95, 14, 0.649, 0.126069, 0.509505, 0.682344, -0.158033, 0.011605;
0.487241, 0.150431, 161.937, 15, 0.708, 0.150431, 0.543323, 0.680316, -0.15807, 0.0116296;
0.507676, 0.175815, 161.922, 16, 0.75, 0.175815, 0.576918, 0.675836, -0.15786, 0.0116455;
0.533346, 0.202482, 161.907, 17, 0.809, 0.202482, 0.610223, 0.670023, -0.157515, 0.0116566;
0.562184, 0.230591, 161.89, 18, 0.849, 0.230591, 0.643195, 0.663368, -0.157081, 0.0116644;
0.592456, 0.260214, 161.871, 19, 0.909, 0.260214, 0.675815, 0.656293, -0.1566, 0.0116705;
0.623477, 0.291388, 161.851, 20, 0.953, 0.291388, 0.708068, 0.648963, -0.15609, 0.0116754;
0.654716, 0.324124, 161.83, 21, 1.012, 0.324124, 0.739949, 0.64151, -0.155564, 0.0116796;
0.685374, 0.358392, 161.807, 22, 1.053, 0.358392, 0.771463, 0.634139, -0.155044, 0.0116842;
0.716004, 0.394192, 161.782, 23, 1.11, 0.394192, 0.802605, 0.626707, -0.154515, 0.0116884;
0.74688, 0.431536, 161.755, 24, 1.153, 0.431536, 0.83337, 0.619136, -0.153966, 0.0116916;
0.777885, 0.470431, 161.726, 25, 1.213, 0.470431, 0.863751, 0.611454, -0.1534, 0.0116941;
0.808713, 0.510866, 161.695, 26, 1.254, 0.510866, 0.893748, 0.603742, -0.152827, 0.0116961;
0.838789, 0.552806, 161.663, 27, 1.313, 0.552806, 0.923366, 0.596159, -0.152266, 0.0116988;
0.86893, 0.596252, 161.628, 28, 1.354, 0.596252, 0.952601, 0.588478, -0.151688, 0.0117006;
0.899381, 0.641221, 161.591, 29, 1.413, 0.641221, 0.981443, 0.580628, -0.151085, 0.011701;
0.930273, 0.687735, 161.551, 30, 1.456, 0.687735, 1.00988, 0.572566, -0.15045, 0.0116995;
0.960483, 0.735759, 161.51, 31, 1.518, 0.735759, 1.03793, 0.564609, -0.149824, 0.0116985;
0.990817, 0.7853, 161.465, 32, 1.559, 0.7853, 1.06557, 0.556526, -0.149175, 0.0116961;
1.02023, 0.836311, 161.419, 33, 1.62, 0.836311, 1.09281, 0.54862, -0.148545, 0.0116946;
1.04573, 0.888598, 161.37, 34, 1.661, 0.888598, 1.11972, 0.541782, -0.148055, 0.0117014;
1.07009, 0.942103, 161.318, 35, 1.719, 0.942103, 1.14629, 0.535214, -0.147598, 0.0117104;
1.09471, 0.996838, 161.264, 36, 1.762, 0.996838, 1.17254, 0.528495, -0.147119, 0.011718;
1.11964, 1.05282, 161.207, 37, 1.82, 1.05282, 1.19843, 0.521608, -0.146612, 0.011724;
1.14474, 1.11006, 161.147, 38, 1.863, 1.11006, 1.22398, 0.514592, -0.146084, 0.0117287;
1.16992, 1.16855, 161.084, 39, 1.923, 1.16855, 1.24917, 0.507468, -0.145536, 0.0117323;
1.19519, 1.22831, 161.018, 40, 1.962, 1.22831, 1.274, 0.500236, -0.144969, 0.0117346;
1.22056, 1.28934, 160.95, 41, 2.03, 1.28934, 1.29847, 0.492883, -0.144379, 0.0117354;
1.24609, 1.35165, 160.878, 42, 2.073, 1.35165, 1.32256, 0.485394, -0.143765, 0.0117346;
1.2718, 1.41524, 160.803, 43, 2.129, 1.41524, 1.34627, 0.477751, -0.143122, 0.0117318;
1.29773, 1.48012, 160.725, 44, 2.173, 1.48012, 1.36959, 0.469941, -0.142448, 0.0117269;
1.32391, 1.54632, 160.643, 45, 2.23, 1.54632, 1.39251, 0.461952, -0.141741, 0.0117196;
1.35033, 1.61383, 160.559, 46, 2.273, 1.61383, 1.41502, 0.453777, -0.140998, 0.0117097;
1.37686, 1.68268, 160.471, 47, 2.331, 1.68268, 1.43712, 0.44546, -0.140225, 0.0116976;
1.40317, 1.75284, 160.379, 48, 2.373, 1.75284, 1.4588, 0.437102, -0.139438, 0.0116842;
1.42984, 1.82433, 160.284, 49, 2.43, 1.82433, 1.48005, 0.428507, -0.138605, 0.0116673;
1.45653, 1.89715, 160.186, 50, 2.475, 1.89715, 1.5, 0.419787, -0.137743, 0.0116481;
1.48247, 1.97128, 160.084, 51, 2.532, 1.97128, 1.5, 0.411199, -0.136894, 0.0116295;
1.50282, 2.04642, 159.978, 52, 2.573, 2.04642, 1.5, 0.404421, -0.136333, 0.0116318;
1.51713, 2.12227, 159.869, 53, 2.633, 2.12227, 1.5, 0.399662, -0.136102, 0.0116585;
